Business,Domain,Website,Industry,Location,Legal/subscriber type,Email,Phone,Score,Capability,Decision,Reason,Duplicate/suppression
Regional Lightning Protection Limited,regionallightningprotection.co.uk,https://regionallightningprotection.co.uk/,,United Kingdom,Not fully re-verified for selection,,,,,Rejected,Strong modern enquiry-focused site; smaller incremental opportunity than Strike Control.,No duplicate used; rejected before outreach
G&S Steeplejacks Ltd,gnssteeplejacks.co.uk,https://gnssteeplejacks.co.uk/,,United Kingdom,Not fully re-verified for selection,,,,,Rejected,"Operating evidence found, but current corporate registry/contact verification was weaker in this run.",No duplicate used; rejected before outreach
DIS Sprinklers Ltd,dissprinklers.co.uk,https://dissprinklers.co.uk/,,United Kingdom,Not fully re-verified for selection,,,,,Rejected,Relevant but less distinctive journey opportunity than Automatic Sprinkler Solutions.,No duplicate used; rejected before outreach
First Fire Protection Ltd,firstfireprotection.co.uk,https://firstfireprotection.co.uk/,,United Kingdom,Not fully re-verified for selection,,,,,Rejected,"Current site already communicates design, installation, maintenance and accreditation clearly.",No duplicate used; rejected before outreach
Abelglass Trade Supplies Ltd,abelglass.co.uk,https://abelglass.co.uk/,,United Kingdom,Not fully re-verified for selection,,,,,Rejected,Existing commercial project content and brochures reduce the immediate redesign opportunity.,No duplicate used; rejected before outreach
Asbestos Surveying & Monitoring Ltd,asbestos-survey-monitoring.co.uk,https://asbestos-survey-monitoring.co.uk/,,United Kingdom,Not fully re-verified for selection,,,,,Rejected,"Already has detailed service-specific content, multiple location routes and urgent support messaging.",No duplicate used; rejected before outreach
OHEC UK Ltd,ohec.co.uk,https://ohec.co.uk/,,United Kingdom,Not fully re-verified for selection,,,,,Rejected,"Strong niche fit, but the selected batch had better verified contact and routing opportunities.",No duplicate used; rejected before outreach
Grease Tech Ltd,greasetech.co.uk,https://greasetech.co.uk/,,United Kingdom,Not fully re-verified for selection,,,,,Rejected,Existing free survey and service messaging is comparatively strong; contact domain differs from site brand.,No duplicate used; rejected before outreach
RGR Facilities Ltd,rgrfacilities.co.uk,https://rgrfacilities.co.uk/,,United Kingdom,Not fully re-verified for selection,,,,,Rejected,"Already combines ecommerce, site surveys and equipment servicing.",No duplicate used; rejected before outreach
Accessafe UK,accessafe.co.uk,https://accessafe.co.uk/,,United Kingdom,Not fully re-verified for selection,,,,,Rejected,"Current content, brochures and technical resources make it more digitally mature than selected prospects.",No duplicate used; rejected before outreach
